NODE=[HOST_b0a55dfb8c] | JOB=tn1-scal-s2 4887072 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset TinyImageNet --NN-name ResNet18_tin --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 2 --save-directory cluster/Account2/metaopt/runs/tn1 --run-name tn1-scal-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 0.49 %, Test Accuracy: 0.52 %
Epoch 1, Train Accuracy: 0.48 %, Test Accuracy: 0.48 %
Epoch 2, Train Accuracy: 0.50 %, Test Accuracy: 0.50 %
Epoch 3, Train Accuracy: 0.55 %, Test Accuracy: 0.45 %
Epoch 4, Train Accuracy: 0.59 %, Test Accuracy: 0.65 %
Epoch 5, Train Accuracy: 0.98 %, Test Accuracy: 1.71 %
Epoch 6, Train Accuracy: 2.30 %, Test Accuracy: 3.27 %
Epoch 7, Train Accuracy: 4.31 %, Test Accuracy: 5.89 %
Epoch 8, Train Accuracy: 6.49 %, Test Accuracy: 6.67 %
Epoch 9, Train Accuracy: 8.21 %, Test Accuracy: 8.73 %
Epoch 10, Train Accuracy: 9.10 %, Test Accuracy: 9.62 %
Epoch 11, Train Accuracy: 9.49 %, Test Accuracy: 9.67 %
Epoch 12, Train Accuracy: 9.68 %, Test Accuracy: 9.81 %
Epoch 13, Train Accuracy: 9.72 %, Test Accuracy: 9.89 %
Epoch 14, Train Accuracy: 9.75 %, Test Accuracy: 9.71 %
Epoch 15, Train Accuracy: 9.77 %, Test Accuracy: 9.91 %
Epoch 16, Train Accuracy: 9.75 %, Test Accuracy: 9.67 %
Epoch 17, Train Accuracy: 9.75 %, Test Accuracy: 9.68 %
Epoch 18, Train Accuracy: 9.81 %, Test Accuracy: 9.96 %
Epoch 19, Train Accuracy: 9.81 %, Test Accuracy: 9.82 %
Epoch 20, Train Accuracy: 9.88 %, Test Accuracy: 9.69 %
Epoch 21, Train Accuracy: 9.84 %, Test Accuracy: 9.77 %
Epoch 22, Train Accuracy: 9.92 %, Test Accuracy: 9.82 %
Epoch 23, Train Accuracy: 9.87 %, Test Accuracy: 9.92 %
Epoch 24, Train Accuracy: 9.82 %, Test Accuracy: 9.79 %
Epoch 25, Train Accuracy: 9.84 %, Test Accuracy: 9.68 %
Epoch 26, Train Accuracy: 9.79 %, Test Accuracy: 9.72 %
Epoch 27, Train Accuracy: 9.85 %, Test Accuracy: 9.75 %
Epoch 28, Train Accuracy: 9.83 %, Test Accuracy: 9.90 %
Epoch 29, Train Accuracy: 9.80 %, Test Accuracy: 9.83 %
Epoch 30, Train Accuracy: 9.80 %, Test Accuracy: 9.82 %
Epoch 31, Train Accuracy: 9.78 %, Test Accuracy: 9.82 %
Epoch 32, Train Accuracy: 9.82 %, Test Accuracy: 9.96 %
Epoch 33, Train Accuracy: 9.87 %, Test Accuracy: 9.76 %
Epoch 34, Train Accuracy: 9.80 %, Test Accuracy: 9.84 %
Epoch 35, Train Accuracy: 9.87 %, Test Accuracy: 9.92 %
Epoch 36, Train Accuracy: 9.77 %, Test Accuracy: 9.80 %
Epoch 37, Train Accuracy: 9.83 %, Test Accuracy: 9.89 %
Epoch 38, Train Accuracy: 9.84 %, Test Accuracy: 9.83 %
Epoch 39, Train Accuracy: 9.80 %, Test Accuracy: 9.77 %
Epoch 40, Train Accuracy: 9.79 %, Test Accuracy: 9.64 %
Epoch 41, Train Accuracy: 9.87 %, Test Accuracy: 9.93 %
Epoch 42, Train Accuracy: 9.84 %, Test Accuracy: 9.75 %
Epoch 43, Train Accuracy: 9.80 %, Test Accuracy: 9.84 %
Epoch 44, Train Accuracy: 9.79 %, Test Accuracy: 9.76 %
Epoch 45, Train Accuracy: 9.75 %, Test Accuracy: 9.91 %
Epoch 46, Train Accuracy: 9.86 %, Test Accuracy: 9.81 %
Epoch 47, Train Accuracy: 9.84 %, Test Accuracy: 9.79 %
Epoch 48, Train Accuracy: 9.83 %, Test Accuracy: 9.78 %
Epoch 49, Train Accuracy: 9.88 %, Test Accuracy: 9.83 %
Epoch 50, Train Accuracy: 9.85 %, Test Accuracy: 9.72 %
Epoch 51, Train Accuracy: 9.81 %, Test Accuracy: 9.90 %
Epoch 52, Train Accuracy: 9.82 %, Test Accuracy: 9.99 %
Epoch 53, Train Accuracy: 9.89 %, Test Accuracy: 9.85 %
Epoch 54, Train Accuracy: 9.81 %, Test Accuracy: 9.77 %
Epoch 55, Train Accuracy: 9.86 %, Test Accuracy: 9.88 %
Epoch 56, Train Accuracy: 9.81 %, Test Accuracy: 9.86 %
Epoch 57, Train Accuracy: 9.84 %, Test Accuracy: 9.92 %
Epoch 58, Train Accuracy: 9.93 %, Test Accuracy: 9.86 %
Epoch 59, Train Accuracy: 9.80 %, Test Accuracy: 9.86 %
Epoch 60, Train Accuracy: 9.84 %, Test Accuracy: 9.93 %
Epoch 61, Train Accuracy: 9.78 %, Test Accuracy: 9.71 %
Epoch 62, Train Accuracy: 9.82 %, Test Accuracy: 9.79 %
Epoch 63, Train Accuracy: 9.78 %, Test Accuracy: 9.90 %
Epoch 64, Train Accuracy: 9.85 %, Test Accuracy: 9.92 %
Epoch 65, Train Accuracy: 9.80 %, Test Accuracy: 9.76 %
Epoch 66, Train Accuracy: 9.78 %, Test Accuracy: 9.82 %
Epoch 67, Train Accuracy: 9.84 %, Test Accuracy: 9.81 %
Epoch 68, Train Accuracy: 9.90 %, Test Accuracy: 9.91 %
Epoch 69, Train Accuracy: 9.81 %, Test Accuracy: 9.99 %
Epoch 70, Train Accuracy: 9.84 %, Test Accuracy: 9.88 %
Epoch 71, Train Accuracy: 9.94 %, Test Accuracy: 9.92 %
Epoch 72, Train Accuracy: 9.84 %, Test Accuracy: 9.80 %
Epoch 73, Train Accuracy: 9.86 %, Test Accuracy: 9.63 %
Epoch 74, Train Accuracy: 9.77 %, Test Accuracy: 9.88 %
Epoch 75, Train Accuracy: 9.83 %, Test Accuracy: 9.77 %
Epoch 76, Train Accuracy: 9.80 %, Test Accuracy: 9.69 %
Epoch 77, Train Accuracy: 9.80 %, Test Accuracy: 9.92 %
Epoch 78, Train Accuracy: 9.93 %, Test Accuracy: 9.93 %
Epoch 79, Train Accuracy: 9.88 %, Test Accuracy: 9.89 %
Epoch 80, Train Accuracy: 9.78 %, Test Accuracy: 9.83 %
Epoch 81, Train Accuracy: 9.88 %, Test Accuracy: 9.69 %
Epoch 82, Train Accuracy: 9.72 %, Test Accuracy: 9.83 %
Epoch 83, Train Accuracy: 9.80 %, Test Accuracy: 9.71 %
Epoch 84, Train Accuracy: 9.83 %, Test Accuracy: 9.89 %
Epoch 85, Train Accuracy: 9.79 %, Test Accuracy: 9.91 %
Epoch 86, Train Accuracy: 9.85 %, Test Accuracy: 9.79 %
Epoch 87, Train Accuracy: 9.90 %, Test Accuracy: 9.74 %
Epoch 88, Train Accuracy: 9.77 %, Test Accuracy: 9.71 %
Epoch 89, Train Accuracy: 9.83 %, Test Accuracy: 9.67 %
Epoch 90, Train Accuracy: 9.87 %, Test Accuracy: 9.85 %
Epoch 91, Train Accuracy: 9.83 %, Test Accuracy: 9.88 %
Epoch 92, Train Accuracy: 9.83 %, Test Accuracy: 9.89 %
Epoch 93, Train Accuracy: 9.80 %, Test Accuracy: 9.80 %
Epoch 94, Train Accuracy: 9.85 %, Test Accuracy: 9.98 %
Epoch 95, Train Accuracy: 9.82 %, Test Accuracy: 9.95 %
Epoch 96, Train Accuracy: 9.85 %, Test Accuracy: 9.66 %
Epoch 97, Train Accuracy: 9.80 %, Test Accuracy: 9.78 %
Epoch 98, Train Accuracy: 9.82 %, Test Accuracy: 9.76 %
Epoch 99, Train Accuracy: 9.83 %, Test Accuracy: 9.70 %
96  minutes
RUN_DONE
