NODE=[HOST_2f2f29d9e1] | JOB=uc5-r10-w-s1 4702376
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account1/metaopt/runs/uc5 --run-name uc5-r10-w-s1
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/uc5/probe_r10_w_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.27 %, Test Accuracy: 29.09 %
Epoch 1, Train Accuracy: 34.11 %, Test Accuracy: 38.07 %
Epoch 2, Train Accuracy: 40.69 %, Test Accuracy: 43.19 %
Epoch 3, Train Accuracy: 44.99 %, Test Accuracy: 48.77 %
Epoch 4, Train Accuracy: 49.72 %, Test Accuracy: 51.40 %
Epoch 5, Train Accuracy: 53.59 %, Test Accuracy: 55.19 %
Epoch 6, Train Accuracy: 56.35 %, Test Accuracy: 57.91 %
Epoch 7, Train Accuracy: 59.67 %, Test Accuracy: 59.59 %
Epoch 8, Train Accuracy: 61.73 %, Test Accuracy: 62.12 %
Epoch 9, Train Accuracy: 63.79 %, Test Accuracy: 63.06 %
Epoch 10, Train Accuracy: 65.75 %, Test Accuracy: 66.75 %
Epoch 11, Train Accuracy: 67.83 %, Test Accuracy: 67.87 %
Epoch 12, Train Accuracy: 68.88 %, Test Accuracy: 69.86 %
Epoch 13, Train Accuracy: 70.39 %, Test Accuracy: 68.64 %
Epoch 14, Train Accuracy: 72.08 %, Test Accuracy: 71.63 %
Epoch 15, Train Accuracy: 73.31 %, Test Accuracy: 73.10 %
Epoch 16, Train Accuracy: 74.49 %, Test Accuracy: 74.17 %
Epoch 17, Train Accuracy: 75.68 %, Test Accuracy: 75.34 %
Epoch 18, Train Accuracy: 76.95 %, Test Accuracy: 76.41 %
Epoch 19, Train Accuracy: 77.78 %, Test Accuracy: 77.25 %
5  minutes
RUN_DONE
