NODE=[HOST_e8d809bd94] | JOB=uc5-r34-node-s1 4702381
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet34 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account1/metaopt/runs/uc5 --run-name uc5-r34-node-s1
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/uc5/probe_r34_node_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.97 %, Test Accuracy: 30.87 %
Epoch 1, Train Accuracy: 35.09 %, Test Accuracy: 41.42 %
Epoch 2, Train Accuracy: 43.40 %, Test Accuracy: 48.30 %
Epoch 3, Train Accuracy: 50.06 %, Test Accuracy: 52.37 %
Epoch 4, Train Accuracy: 55.98 %, Test Accuracy: 56.77 %
Epoch 5, Train Accuracy: 61.23 %, Test Accuracy: 63.76 %
Epoch 6, Train Accuracy: 65.54 %, Test Accuracy: 67.15 %
Epoch 7, Train Accuracy: 69.44 %, Test Accuracy: 71.34 %
Epoch 8, Train Accuracy: 73.19 %, Test Accuracy: 73.93 %
Epoch 9, Train Accuracy: 76.12 %, Test Accuracy: 76.37 %
Epoch 10, Train Accuracy: 78.47 %, Test Accuracy: 79.06 %
Epoch 11, Train Accuracy: 81.24 %, Test Accuracy: 79.89 %
Epoch 12, Train Accuracy: 82.13 %, Test Accuracy: 80.93 %
Epoch 13, Train Accuracy: 83.94 %, Test Accuracy: 83.31 %
Epoch 14, Train Accuracy: 84.96 %, Test Accuracy: 82.11 %
Epoch 15, Train Accuracy: 86.45 %, Test Accuracy: 84.41 %
Epoch 16, Train Accuracy: 87.79 %, Test Accuracy: 83.88 %
Epoch 17, Train Accuracy: 88.56 %, Test Accuracy: 86.18 %
Epoch 18, Train Accuracy: 89.22 %, Test Accuracy: 85.45 %
Epoch 19, Train Accuracy: 89.97 %, Test Accuracy: 86.35 %
14  minutes
RUN_DONE
