NODE=[HOST_2f2f29d9e1] | JOB=uc6-c100-w-s0 4702449
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/uc6 --run-name uc6-c100-w-s0
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/uc6/probe_c100_w_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.15 %, Test Accuracy: 5.79 %
Epoch 1, Train Accuracy: 7.68 %, Test Accuracy: 9.31 %
Epoch 2, Train Accuracy: 10.44 %, Test Accuracy: 11.44 %
Epoch 3, Train Accuracy: 12.61 %, Test Accuracy: 14.08 %
Epoch 4, Train Accuracy: 14.96 %, Test Accuracy: 16.49 %
Epoch 5, Train Accuracy: 17.05 %, Test Accuracy: 18.13 %
Epoch 6, Train Accuracy: 19.41 %, Test Accuracy: 20.47 %
Epoch 7, Train Accuracy: 21.65 %, Test Accuracy: 22.55 %
Epoch 8, Train Accuracy: 23.81 %, Test Accuracy: 25.27 %
Epoch 9, Train Accuracy: 25.76 %, Test Accuracy: 27.95 %
Epoch 10, Train Accuracy: 28.37 %, Test Accuracy: 29.64 %
Epoch 11, Train Accuracy: 30.45 %, Test Accuracy: 31.52 %
Epoch 12, Train Accuracy: 32.42 %, Test Accuracy: 33.27 %
Epoch 13, Train Accuracy: 33.82 %, Test Accuracy: 34.13 %
Epoch 14, Train Accuracy: 36.24 %, Test Accuracy: 36.73 %
Epoch 15, Train Accuracy: 37.90 %, Test Accuracy: 36.91 %
Epoch 16, Train Accuracy: 39.51 %, Test Accuracy: 38.43 %
Epoch 17, Train Accuracy: 40.99 %, Test Accuracy: 40.88 %
Epoch 18, Train Accuracy: 42.69 %, Test Accuracy: 41.78 %
Epoch 19, Train Accuracy: 44.60 %, Test Accuracy: 43.49 %
9  minutes
RUN_DONE
