NODE=[HOST_bcfd0fc19c] | JOB=uc6-c100-w-s1 4702450
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account1/metaopt/runs/uc6 --run-name uc6-c100-w-s1
ENV: AUGMENT=1 BETA_CLIP=-30:0.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/uc6/probe_c100_w_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.10 %, Test Accuracy: 6.36 %
Epoch 1, Train Accuracy: 7.39 %, Test Accuracy: 9.57 %
Epoch 2, Train Accuracy: 10.96 %, Test Accuracy: 12.44 %
Epoch 3, Train Accuracy: 13.18 %, Test Accuracy: 14.05 %
Epoch 4, Train Accuracy: 15.29 %, Test Accuracy: 16.80 %
Epoch 5, Train Accuracy: 17.31 %, Test Accuracy: 18.10 %
Epoch 6, Train Accuracy: 19.38 %, Test Accuracy: 20.92 %
Epoch 7, Train Accuracy: 21.68 %, Test Accuracy: 23.19 %
Epoch 8, Train Accuracy: 24.31 %, Test Accuracy: 23.95 %
Epoch 9, Train Accuracy: 26.47 %, Test Accuracy: 27.34 %
Epoch 10, Train Accuracy: 28.53 %, Test Accuracy: 29.69 %
Epoch 11, Train Accuracy: 30.27 %, Test Accuracy: 31.04 %
Epoch 12, Train Accuracy: 32.52 %, Test Accuracy: 32.60 %
Epoch 13, Train Accuracy: 33.77 %, Test Accuracy: 33.62 %
Epoch 14, Train Accuracy: 35.57 %, Test Accuracy: 35.83 %
Epoch 15, Train Accuracy: 37.48 %, Test Accuracy: 37.19 %
Epoch 16, Train Accuracy: 39.19 %, Test Accuracy: 38.72 %
Epoch 17, Train Accuracy: 40.48 %, Test Accuracy: 39.95 %
Epoch 18, Train Accuracy: 41.61 %, Test Accuracy: 41.21 %
Epoch 19, Train Accuracy: 43.02 %, Test Accuracy: 41.79 %
9  minutes
RUN_DONE
