NODE=[HOST_6dc36997e3] | JOB=wm9-w-3e4-s0 4707496
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/wm9 --run-name wm9-w-3e4-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.19 %, Test Accuracy: 30.24 %
Epoch 1, Train Accuracy: 34.77 %, Test Accuracy: 39.05 %
Epoch 2, Train Accuracy: 40.73 %, Test Accuracy: 44.43 %
Epoch 3, Train Accuracy: 45.69 %, Test Accuracy: 48.70 %
Epoch 4, Train Accuracy: 50.41 %, Test Accuracy: 54.09 %
Epoch 5, Train Accuracy: 54.96 %, Test Accuracy: 57.32 %
Epoch 6, Train Accuracy: 58.32 %, Test Accuracy: 61.39 %
Epoch 7, Train Accuracy: 61.71 %, Test Accuracy: 61.57 %
Epoch 8, Train Accuracy: 64.67 %, Test Accuracy: 66.26 %
Epoch 9, Train Accuracy: 66.71 %, Test Accuracy: 68.03 %
Epoch 10, Train Accuracy: 69.05 %, Test Accuracy: 68.74 %
Epoch 11, Train Accuracy: 71.00 %, Test Accuracy: 72.03 %
Epoch 12, Train Accuracy: 72.63 %, Test Accuracy: 72.28 %
Epoch 13, Train Accuracy: 74.30 %, Test Accuracy: 74.43 %
Epoch 14, Train Accuracy: 75.82 %, Test Accuracy: 76.02 %
Epoch 15, Train Accuracy: 77.84 %, Test Accuracy: 77.83 %
Epoch 16, Train Accuracy: 78.84 %, Test Accuracy: 78.61 %
Epoch 17, Train Accuracy: 79.97 %, Test Accuracy: 79.14 %
Epoch 18, Train Accuracy: 81.12 %, Test Accuracy: 80.03 %
Epoch 19, Train Accuracy: 82.07 %, Test Accuracy: 80.63 %
Epoch 20, Train Accuracy: 83.15 %, Test Accuracy: 81.92 %
Epoch 21, Train Accuracy: 83.94 %, Test Accuracy: 81.39 %
Epoch 22, Train Accuracy: 84.43 %, Test Accuracy: 82.59 %
Epoch 23, Train Accuracy: 85.31 %, Test Accuracy: 82.87 %
Epoch 24, Train Accuracy: 85.51 %, Test Accuracy: 83.95 %
Epoch 25, Train Accuracy: 86.28 %, Test Accuracy: 84.78 %
Epoch 26, Train Accuracy: 87.22 %, Test Accuracy: 85.37 %
Epoch 27, Train Accuracy: 87.46 %, Test Accuracy: 84.66 %
Epoch 28, Train Accuracy: 87.79 %, Test Accuracy: 84.74 %
Epoch 29, Train Accuracy: 88.84 %, Test Accuracy: 85.21 %
Epoch 30, Train Accuracy: 89.18 %, Test Accuracy: 85.85 %
Epoch 31, Train Accuracy: 89.30 %, Test Accuracy: 86.43 %
Epoch 32, Train Accuracy: 89.49 %, Test Accuracy: 86.69 %
Epoch 33, Train Accuracy: 89.83 %, Test Accuracy: 87.14 %
Epoch 34, Train Accuracy: 90.31 %, Test Accuracy: 86.77 %
Epoch 35, Train Accuracy: 90.77 %, Test Accuracy: 86.99 %
Epoch 36, Train Accuracy: 90.68 %, Test Accuracy: 87.31 %
Epoch 37, Train Accuracy: 90.82 %, Test Accuracy: 87.72 %
Epoch 38, Train Accuracy: 91.44 %, Test Accuracy: 87.37 %
Epoch 39, Train Accuracy: 91.57 %, Test Accuracy: 86.33 %
Epoch 40, Train Accuracy: 92.01 %, Test Accuracy: 87.78 %
Epoch 41, Train Accuracy: 91.95 %, Test Accuracy: 87.98 %
Epoch 42, Train Accuracy: 91.91 %, Test Accuracy: 87.51 %
Epoch 43, Train Accuracy: 92.33 %, Test Accuracy: 88.20 %
Epoch 44, Train Accuracy: 92.22 %, Test Accuracy: 88.13 %
Epoch 45, Train Accuracy: 92.70 %, Test Accuracy: 88.64 %
Epoch 46, Train Accuracy: 92.81 %, Test Accuracy: 89.14 %
Epoch 47, Train Accuracy: 93.01 %, Test Accuracy: 88.77 %
Epoch 48, Train Accuracy: 93.05 %, Test Accuracy: 88.51 %
Epoch 49, Train Accuracy: 93.32 %, Test Accuracy: 88.23 %
Epoch 50, Train Accuracy: 93.45 %, Test Accuracy: 89.48 %
Epoch 51, Train Accuracy: 93.55 %, Test Accuracy: 89.31 %
Epoch 52, Train Accuracy: 93.54 %, Test Accuracy: 88.40 %
Epoch 53, Train Accuracy: 93.64 %, Test Accuracy: 88.93 %
Epoch 54, Train Accuracy: 94.29 %, Test Accuracy: 89.47 %
Epoch 55, Train Accuracy: 94.30 %, Test Accuracy: 89.75 %
Epoch 56, Train Accuracy: 94.14 %, Test Accuracy: 89.98 %
Epoch 57, Train Accuracy: 94.23 %, Test Accuracy: 89.13 %
Epoch 58, Train Accuracy: 94.40 %, Test Accuracy: 89.05 %
Epoch 59, Train Accuracy: 94.70 %, Test Accuracy: 89.66 %
Epoch 60, Train Accuracy: 94.73 %, Test Accuracy: 88.46 %
Epoch 61, Train Accuracy: 94.46 %, Test Accuracy: 89.26 %
Epoch 62, Train Accuracy: 95.16 %, Test Accuracy: 89.79 %
Epoch 63, Train Accuracy: 95.46 %, Test Accuracy: 89.86 %
Epoch 64, Train Accuracy: 95.05 %, Test Accuracy: 88.96 %
Epoch 65, Train Accuracy: 95.15 %, Test Accuracy: 89.44 %
Epoch 66, Train Accuracy: 95.02 %, Test Accuracy: 90.50 %
Epoch 67, Train Accuracy: 95.46 %, Test Accuracy: 90.74 %
Epoch 68, Train Accuracy: 95.56 %, Test Accuracy: 90.00 %
Epoch 69, Train Accuracy: 95.59 %, Test Accuracy: 89.55 %
Epoch 70, Train Accuracy: 95.57 %, Test Accuracy: 90.46 %
Epoch 71, Train Accuracy: 95.77 %, Test Accuracy: 89.71 %
Epoch 72, Train Accuracy: 96.20 %, Test Accuracy: 90.77 %
Epoch 73, Train Accuracy: 95.88 %, Test Accuracy: 90.03 %
Epoch 74, Train Accuracy: 95.91 %, Test Accuracy: 89.99 %
Epoch 75, Train Accuracy: 96.37 %, Test Accuracy: 91.25 %
Epoch 76, Train Accuracy: 96.32 %, Test Accuracy: 90.81 %
Epoch 77, Train Accuracy: 96.33 %, Test Accuracy: 89.74 %
Epoch 78, Train Accuracy: 96.27 %, Test Accuracy: 91.01 %
Epoch 79, Train Accuracy: 96.68 %, Test Accuracy: 90.51 %
Epoch 80, Train Accuracy: 96.73 %, Test Accuracy: 90.33 %
Epoch 81, Train Accuracy: 96.73 %, Test Accuracy: 90.58 %
Epoch 82, Train Accuracy: 96.59 %, Test Accuracy: 90.36 %
Epoch 83, Train Accuracy: 96.56 %, Test Accuracy: 91.14 %
Epoch 84, Train Accuracy: 96.78 %, Test Accuracy: 90.79 %
Epoch 85, Train Accuracy: 96.97 %, Test Accuracy: 90.52 %
Epoch 86, Train Accuracy: 96.92 %, Test Accuracy: 90.62 %
Epoch 87, Train Accuracy: 97.19 %, Test Accuracy: 91.11 %
Epoch 88, Train Accuracy: 96.96 %, Test Accuracy: 90.75 %
Epoch 89, Train Accuracy: 97.25 %, Test Accuracy: 91.00 %
Epoch 90, Train Accuracy: 97.36 %, Test Accuracy: 90.73 %
Epoch 91, Train Accuracy: 97.37 %, Test Accuracy: 91.18 %
Epoch 92, Train Accuracy: 97.35 %, Test Accuracy: 90.33 %
Epoch 93, Train Accuracy: 97.61 %, Test Accuracy: 91.68 %
Epoch 94, Train Accuracy: 97.53 %, Test Accuracy: 91.29 %
Epoch 95, Train Accuracy: 97.67 %, Test Accuracy: 90.87 %
Epoch 96, Train Accuracy: 97.86 %, Test Accuracy: 90.63 %
Epoch 97, Train Accuracy: 97.83 %, Test Accuracy: 91.28 %
Epoch 98, Train Accuracy: 97.61 %, Test Accuracy: 91.32 %
Epoch 99, Train Accuracy: 97.75 %, Test Accuracy: 91.28 %
39  minutes
RUN_DONE
