NODE=[HOST_ae9488be04] | JOB=wm9-w-3e5-s0 4707492
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-5 --alpha0 1e-3 --num-epochs 100 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/wm9 --run-name wm9-w-3e5-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.00 %, Test Accuracy: 29.92 %
Epoch 1, Train Accuracy: 33.86 %, Test Accuracy: 37.89 %
Epoch 2, Train Accuracy: 39.18 %, Test Accuracy: 42.30 %
Epoch 3, Train Accuracy: 43.26 %, Test Accuracy: 45.78 %
Epoch 4, Train Accuracy: 47.01 %, Test Accuracy: 50.33 %
Epoch 5, Train Accuracy: 51.03 %, Test Accuracy: 53.67 %
Epoch 6, Train Accuracy: 54.05 %, Test Accuracy: 56.45 %
Epoch 7, Train Accuracy: 57.50 %, Test Accuracy: 58.22 %
Epoch 8, Train Accuracy: 60.28 %, Test Accuracy: 61.00 %
Epoch 9, Train Accuracy: 62.24 %, Test Accuracy: 63.59 %
Epoch 10, Train Accuracy: 64.41 %, Test Accuracy: 65.52 %
Epoch 11, Train Accuracy: 66.63 %, Test Accuracy: 66.79 %
Epoch 12, Train Accuracy: 67.95 %, Test Accuracy: 67.87 %
Epoch 13, Train Accuracy: 70.13 %, Test Accuracy: 70.45 %
Epoch 14, Train Accuracy: 71.15 %, Test Accuracy: 71.80 %
Epoch 15, Train Accuracy: 73.20 %, Test Accuracy: 72.10 %
Epoch 16, Train Accuracy: 74.69 %, Test Accuracy: 74.77 %
Epoch 17, Train Accuracy: 76.28 %, Test Accuracy: 75.06 %
Epoch 18, Train Accuracy: 77.20 %, Test Accuracy: 75.93 %
