NODE=[HOST_3c1b003035] | JOB=zad-plain-s2 4683238 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account2/metaopt/runs/zad --run-name zad-plain_s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.03 %, Test Accuracy: 10.18 %
Epoch 1, Train Accuracy: 9.98 %, Test Accuracy: 10.24 %
Epoch 2, Train Accuracy: 10.12 %, Test Accuracy: 10.34 %
Epoch 3, Train Accuracy: 10.12 %, Test Accuracy: 10.57 %
Epoch 4, Train Accuracy: 10.79 %, Test Accuracy: 10.70 %
Epoch 5, Train Accuracy: 11.64 %, Test Accuracy: 11.99 %
Epoch 6, Train Accuracy: 13.58 %, Test Accuracy: 14.33 %
Epoch 7, Train Accuracy: 15.76 %, Test Accuracy: 17.35 %
Epoch 8, Train Accuracy: 18.71 %, Test Accuracy: 20.70 %
Epoch 9, Train Accuracy: 22.28 %, Test Accuracy: 23.35 %
Epoch 10, Train Accuracy: 25.53 %, Test Accuracy: 26.97 %
Epoch 11, Train Accuracy: 29.44 %, Test Accuracy: 32.32 %
Epoch 12, Train Accuracy: 34.39 %, Test Accuracy: 37.76 %
Epoch 13, Train Accuracy: 39.29 %, Test Accuracy: 42.31 %
Epoch 14, Train Accuracy: 44.37 %, Test Accuracy: 48.90 %
Epoch 15, Train Accuracy: 50.06 %, Test Accuracy: 52.27 %
