NODE=[HOST_2739ecbbce] | JOB=zrn-w-r07-s1 4682654 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account2/metaopt/runs/zrn --run-name zrn-w-r07_s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=zpool LAM=na ETA_RATIO=0.7
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.81 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 9.52 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.70 %, Test Accuracy: 9.88 %
Epoch 4, Train Accuracy: 10.09 %, Test Accuracy: 10.40 %
Epoch 5, Train Accuracy: 11.21 %, Test Accuracy: 12.21 %
Epoch 6, Train Accuracy: 14.02 %, Test Accuracy: 15.65 %
Epoch 7, Train Accuracy: 17.24 %, Test Accuracy: 20.51 %
Epoch 8, Train Accuracy: 20.36 %, Test Accuracy: 22.04 %
Epoch 9, Train Accuracy: 22.81 %, Test Accuracy: 24.34 %
Epoch 10, Train Accuracy: 25.85 %, Test Accuracy: 26.94 %
Epoch 11, Train Accuracy: 29.47 %, Test Accuracy: 32.52 %
Epoch 12, Train Accuracy: 33.91 %, Test Accuracy: 37.19 %
Epoch 13, Train Accuracy: 39.10 %, Test Accuracy: 42.55 %
Epoch 14, Train Accuracy: 43.93 %, Test Accuracy: 47.77 %
Epoch 15, Train Accuracy: 48.97 %, Test Accuracy: 51.03 %
Epoch 16, Train Accuracy: 54.32 %, Test Accuracy: 57.05 %
Epoch 17, Train Accuracy: 60.00 %, Test Accuracy: 62.11 %
Epoch 18, Train Accuracy: 67.25 %, Test Accuracy: 67.50 %
Epoch 19, Train Accuracy: 71.04 %, Test Accuracy: 72.34 %
Epoch 20, Train Accuracy: 73.97 %, Test Accuracy: 74.43 %
Epoch 21, Train Accuracy: 76.15 %, Test Accuracy: 76.15 %
Epoch 22, Train Accuracy: 78.16 %, Test Accuracy: 77.68 %
Epoch 23, Train Accuracy: 79.59 %, Test Accuracy: 78.55 %
Epoch 24, Train Accuracy: 80.86 %, Test Accuracy: 80.64 %
Epoch 25, Train Accuracy: 81.83 %, Test Accuracy: 81.20 %
Epoch 26, Train Accuracy: 82.78 %, Test Accuracy: 81.37 %
Epoch 27, Train Accuracy: 83.43 %, Test Accuracy: 82.58 %
Epoch 28, Train Accuracy: 84.24 %, Test Accuracy: 83.47 %
Epoch 29, Train Accuracy: 84.96 %, Test Accuracy: 83.57 %
Epoch 30, Train Accuracy: 85.42 %, Test Accuracy: 83.63 %
Epoch 31, Train Accuracy: 85.80 %, Test Accuracy: 84.20 %
Epoch 32, Train Accuracy: 86.18 %, Test Accuracy: 84.64 %
Epoch 33, Train Accuracy: 86.80 %, Test Accuracy: 85.23 %
Epoch 34, Train Accuracy: 87.07 %, Test Accuracy: 85.29 %
Epoch 35, Train Accuracy: 87.59 %, Test Accuracy: 85.32 %
Epoch 36, Train Accuracy: 87.89 %, Test Accuracy: 84.83 %
Epoch 37, Train Accuracy: 87.97 %, Test Accuracy: 85.00 %
Epoch 38, Train Accuracy: 88.31 %, Test Accuracy: 85.48 %
Epoch 39, Train Accuracy: 89.01 %, Test Accuracy: 85.69 %
Epoch 40, Train Accuracy: 89.02 %, Test Accuracy: 86.09 %
Epoch 41, Train Accuracy: 89.14 %, Test Accuracy: 86.02 %
Epoch 42, Train Accuracy: 89.39 %, Test Accuracy: 86.16 %
Epoch 43, Train Accuracy: 89.52 %, Test Accuracy: 86.44 %
Epoch 44, Train Accuracy: 89.80 %, Test Accuracy: 86.67 %
Epoch 45, Train Accuracy: 89.90 %, Test Accuracy: 86.59 %
Epoch 46, Train Accuracy: 90.10 %, Test Accuracy: 86.27 %
Epoch 47, Train Accuracy: 90.38 %, Test Accuracy: 86.83 %
Epoch 48, Train Accuracy: 90.58 %, Test Accuracy: 86.78 %
Epoch 49, Train Accuracy: 90.63 %, Test Accuracy: 87.20 %
Epoch 50, Train Accuracy: 90.80 %, Test Accuracy: 86.90 %
Epoch 51, Train Accuracy: 91.12 %, Test Accuracy: 86.76 %
Epoch 52, Train Accuracy: 91.15 %, Test Accuracy: 87.31 %
Epoch 53, Train Accuracy: 91.25 %, Test Accuracy: 87.00 %
Epoch 54, Train Accuracy: 91.25 %, Test Accuracy: 87.09 %
Epoch 55, Train Accuracy: 91.66 %, Test Accuracy: 87.21 %
Epoch 56, Train Accuracy: 91.57 %, Test Accuracy: 87.42 %
Epoch 57, Train Accuracy: 91.77 %, Test Accuracy: 87.07 %
Epoch 58, Train Accuracy: 91.94 %, Test Accuracy: 87.21 %
Epoch 59, Train Accuracy: 91.98 %, Test Accuracy: 87.00 %
Epoch 60, Train Accuracy: 92.07 %, Test Accuracy: 87.26 %
Epoch 61, Train Accuracy: 92.39 %, Test Accuracy: 87.47 %
Epoch 62, Train Accuracy: 92.12 %, Test Accuracy: 87.23 %
Epoch 63, Train Accuracy: 92.43 %, Test Accuracy: 87.34 %
Epoch 64, Train Accuracy: 92.46 %, Test Accuracy: 87.52 %
Epoch 65, Train Accuracy: 92.54 %, Test Accuracy: 87.74 %
Epoch 66, Train Accuracy: 92.72 %, Test Accuracy: 87.67 %
Epoch 67, Train Accuracy: 92.69 %, Test Accuracy: 87.65 %
Epoch 68, Train Accuracy: 92.68 %, Test Accuracy: 87.27 %
Epoch 69, Train Accuracy: 92.96 %, Test Accuracy: 87.34 %
Epoch 70, Train Accuracy: 92.97 %, Test Accuracy: 87.43 %
Epoch 71, Train Accuracy: 93.12 %, Test Accuracy: 87.66 %
Epoch 72, Train Accuracy: 93.25 %, Test Accuracy: 87.75 %
Epoch 73, Train Accuracy: 93.47 %, Test Accuracy: 87.61 %
Epoch 74, Train Accuracy: 93.38 %, Test Accuracy: 87.20 %
Epoch 75, Train Accuracy: 93.36 %, Test Accuracy: 87.45 %
Epoch 76, Train Accuracy: 93.37 %, Test Accuracy: 87.92 %
Epoch 77, Train Accuracy: 93.50 %, Test Accuracy: 88.00 %
Epoch 78, Train Accuracy: 93.56 %, Test Accuracy: 87.69 %
Epoch 79, Train Accuracy: 93.66 %, Test Accuracy: 87.87 %
Epoch 80, Train Accuracy: 93.76 %, Test Accuracy: 87.94 %
Epoch 81, Train Accuracy: 94.07 %, Test Accuracy: 87.54 %
Epoch 82, Train Accuracy: 93.93 %, Test Accuracy: 87.71 %
Epoch 83, Train Accuracy: 94.01 %, Test Accuracy: 87.82 %
Epoch 84, Train Accuracy: 94.12 %, Test Accuracy: 87.51 %
Epoch 85, Train Accuracy: 94.01 %, Test Accuracy: 88.39 %
Epoch 86, Train Accuracy: 94.13 %, Test Accuracy: 87.78 %
Epoch 87, Train Accuracy: 94.15 %, Test Accuracy: 88.03 %
Epoch 88, Train Accuracy: 94.29 %, Test Accuracy: 87.79 %
Epoch 89, Train Accuracy: 94.51 %, Test Accuracy: 87.65 %
Epoch 90, Train Accuracy: 94.32 %, Test Accuracy: 87.91 %
Epoch 91, Train Accuracy: 94.51 %, Test Accuracy: 88.10 %
Epoch 92, Train Accuracy: 94.43 %, Test Accuracy: 87.95 %
Epoch 93, Train Accuracy: 94.57 %, Test Accuracy: 88.01 %
Epoch 94, Train Accuracy: 94.65 %, Test Accuracy: 87.97 %
Epoch 95, Train Accuracy: 94.77 %, Test Accuracy: 88.28 %
Epoch 96, Train Accuracy: 94.74 %, Test Accuracy: 87.88 %
Epoch 97, Train Accuracy: 94.72 %, Test Accuracy: 87.78 %
Epoch 98, Train Accuracy: 94.90 %, Test Accuracy: 88.41 %
Epoch 99, Train Accuracy: 95.04 %, Test Accuracy: 88.14 %
86  minutes
RUN_DONE
