NODE=[HOST_bcfd0fc19c] | JOB=zsw-w-r01-s0 4681675
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/zsw --run-name zsw-w-r01_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=zpool LAM=na ETA_RATIO=0.1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.80 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.75 %, Test Accuracy: 12.93 %
Epoch 2, Train Accuracy: 13.01 %, Test Accuracy: 13.21 %
Epoch 3, Train Accuracy: 13.47 %, Test Accuracy: 13.49 %
Epoch 4, Train Accuracy: 13.67 %, Test Accuracy: 13.75 %
Epoch 5, Train Accuracy: 14.52 %, Test Accuracy: 14.50 %
Epoch 6, Train Accuracy: 15.75 %, Test Accuracy: 15.51 %
Epoch 7, Train Accuracy: 17.63 %, Test Accuracy: 17.85 %
Epoch 8, Train Accuracy: 20.21 %, Test Accuracy: 20.99 %
Epoch 9, Train Accuracy: 23.05 %, Test Accuracy: 24.12 %
Epoch 10, Train Accuracy: 26.46 %, Test Accuracy: 28.16 %
Epoch 11, Train Accuracy: 30.23 %, Test Accuracy: 32.81 %
Epoch 12, Train Accuracy: 33.87 %, Test Accuracy: 35.87 %
Epoch 13, Train Accuracy: 37.40 %, Test Accuracy: 40.00 %
Epoch 14, Train Accuracy: 41.75 %, Test Accuracy: 45.07 %
Epoch 15, Train Accuracy: 47.47 %, Test Accuracy: 51.37 %
Epoch 16, Train Accuracy: 53.66 %, Test Accuracy: 56.46 %
Epoch 17, Train Accuracy: 60.27 %, Test Accuracy: 63.23 %
Epoch 18, Train Accuracy: 65.88 %, Test Accuracy: 66.71 %
Epoch 19, Train Accuracy: 70.54 %, Test Accuracy: 70.58 %
Epoch 20, Train Accuracy: 72.98 %, Test Accuracy: 72.67 %
Epoch 21, Train Accuracy: 75.71 %, Test Accuracy: 76.03 %
Epoch 22, Train Accuracy: 77.30 %, Test Accuracy: 77.88 %
Epoch 23, Train Accuracy: 78.53 %, Test Accuracy: 79.54 %
Epoch 24, Train Accuracy: 80.00 %, Test Accuracy: 79.01 %
Epoch 25, Train Accuracy: 80.78 %, Test Accuracy: 80.70 %
Epoch 26, Train Accuracy: 81.81 %, Test Accuracy: 81.26 %
Epoch 27, Train Accuracy: 82.60 %, Test Accuracy: 82.08 %
Epoch 28, Train Accuracy: 83.55 %, Test Accuracy: 82.90 %
Epoch 29, Train Accuracy: 84.08 %, Test Accuracy: 82.80 %
Epoch 30, Train Accuracy: 84.71 %, Test Accuracy: 83.21 %
Epoch 31, Train Accuracy: 85.43 %, Test Accuracy: 83.76 %
Epoch 32, Train Accuracy: 86.07 %, Test Accuracy: 84.28 %
Epoch 33, Train Accuracy: 86.30 %, Test Accuracy: 84.55 %
Epoch 34, Train Accuracy: 86.54 %, Test Accuracy: 84.23 %
Epoch 35, Train Accuracy: 87.07 %, Test Accuracy: 84.53 %
Epoch 36, Train Accuracy: 87.33 %, Test Accuracy: 84.84 %
Epoch 37, Train Accuracy: 87.58 %, Test Accuracy: 84.73 %
Epoch 38, Train Accuracy: 87.78 %, Test Accuracy: 85.23 %
Epoch 39, Train Accuracy: 88.20 %, Test Accuracy: 85.29 %
Epoch 40, Train Accuracy: 88.30 %, Test Accuracy: 85.76 %
Epoch 41, Train Accuracy: 88.53 %, Test Accuracy: 85.27 %
Epoch 42, Train Accuracy: 88.62 %, Test Accuracy: 85.68 %
Epoch 43, Train Accuracy: 88.90 %, Test Accuracy: 85.72 %
Epoch 44, Train Accuracy: 89.06 %, Test Accuracy: 86.18 %
Epoch 45, Train Accuracy: 89.34 %, Test Accuracy: 86.01 %
Epoch 46, Train Accuracy: 89.22 %, Test Accuracy: 86.37 %
Epoch 47, Train Accuracy: 89.57 %, Test Accuracy: 86.40 %
Epoch 48, Train Accuracy: 89.84 %, Test Accuracy: 86.02 %
Epoch 49, Train Accuracy: 90.03 %, Test Accuracy: 86.39 %
Epoch 50, Train Accuracy: 90.13 %, Test Accuracy: 86.69 %
Epoch 51, Train Accuracy: 90.35 %, Test Accuracy: 86.91 %
Epoch 52, Train Accuracy: 90.54 %, Test Accuracy: 86.93 %
Epoch 53, Train Accuracy: 90.63 %, Test Accuracy: 86.74 %
Epoch 54, Train Accuracy: 90.67 %, Test Accuracy: 87.16 %
Epoch 55, Train Accuracy: 90.93 %, Test Accuracy: 86.81 %
Epoch 56, Train Accuracy: 91.14 %, Test Accuracy: 86.88 %
Epoch 57, Train Accuracy: 91.26 %, Test Accuracy: 86.59 %
Epoch 58, Train Accuracy: 91.13 %, Test Accuracy: 87.18 %
Epoch 59, Train Accuracy: 91.25 %, Test Accuracy: 87.25 %
Epoch 60, Train Accuracy: 91.40 %, Test Accuracy: 87.10 %
Epoch 61, Train Accuracy: 91.57 %, Test Accuracy: 86.97 %
Epoch 62, Train Accuracy: 91.80 %, Test Accuracy: 87.17 %
Epoch 63, Train Accuracy: 91.80 %, Test Accuracy: 87.22 %
Epoch 64, Train Accuracy: 91.85 %, Test Accuracy: 87.22 %
Epoch 65, Train Accuracy: 91.86 %, Test Accuracy: 87.17 %
Epoch 66, Train Accuracy: 91.99 %, Test Accuracy: 87.20 %
Epoch 67, Train Accuracy: 92.12 %, Test Accuracy: 87.11 %
Epoch 68, Train Accuracy: 92.17 %, Test Accuracy: 87.39 %
Epoch 69, Train Accuracy: 92.28 %, Test Accuracy: 87.52 %
Epoch 70, Train Accuracy: 92.33 %, Test Accuracy: 87.58 %
Epoch 71, Train Accuracy: 92.38 %, Test Accuracy: 87.68 %
Epoch 72, Train Accuracy: 92.43 %, Test Accuracy: 87.67 %
Epoch 73, Train Accuracy: 92.48 %, Test Accuracy: 87.67 %
Epoch 74, Train Accuracy: 92.67 %, Test Accuracy: 87.36 %
Epoch 75, Train Accuracy: 92.75 %, Test Accuracy: 87.46 %
Epoch 76, Train Accuracy: 92.73 %, Test Accuracy: 87.45 %
Epoch 77, Train Accuracy: 92.59 %, Test Accuracy: 87.26 %
Epoch 78, Train Accuracy: 92.82 %, Test Accuracy: 87.41 %
Epoch 79, Train Accuracy: 92.87 %, Test Accuracy: 87.49 %
