NODE=[HOST_2f2f29d9e1] | JOB=zsw-w-r07-s1 4681693
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account1/metaopt/runs/zsw --run-name zsw-w-r07_s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=zpool LAM=na ETA_RATIO=0.7
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.87 %
Epoch 2, Train Accuracy: 9.52 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.69 %, Test Accuracy: 9.87 %
Epoch 4, Train Accuracy: 10.10 %, Test Accuracy: 10.39 %
Epoch 5, Train Accuracy: 11.21 %, Test Accuracy: 12.19 %
Epoch 6, Train Accuracy: 14.03 %, Test Accuracy: 15.59 %
Epoch 7, Train Accuracy: 17.26 %, Test Accuracy: 20.51 %
Epoch 8, Train Accuracy: 20.36 %, Test Accuracy: 22.01 %
Epoch 9, Train Accuracy: 22.85 %, Test Accuracy: 24.39 %
Epoch 10, Train Accuracy: 25.84 %, Test Accuracy: 26.85 %
Epoch 11, Train Accuracy: 29.49 %, Test Accuracy: 32.30 %
Epoch 12, Train Accuracy: 33.97 %, Test Accuracy: 36.96 %
Epoch 13, Train Accuracy: 39.02 %, Test Accuracy: 42.69 %
Epoch 14, Train Accuracy: 43.96 %, Test Accuracy: 47.59 %
Epoch 15, Train Accuracy: 48.88 %, Test Accuracy: 50.12 %
Epoch 16, Train Accuracy: 54.05 %, Test Accuracy: 55.01 %
Epoch 17, Train Accuracy: 59.72 %, Test Accuracy: 62.78 %
Epoch 18, Train Accuracy: 66.98 %, Test Accuracy: 68.15 %
Epoch 19, Train Accuracy: 70.94 %, Test Accuracy: 73.18 %
Epoch 20, Train Accuracy: 73.94 %, Test Accuracy: 74.19 %
Epoch 21, Train Accuracy: 76.01 %, Test Accuracy: 77.04 %
Epoch 22, Train Accuracy: 78.59 %, Test Accuracy: 79.27 %
Epoch 23, Train Accuracy: 79.90 %, Test Accuracy: 79.15 %
Epoch 24, Train Accuracy: 81.20 %, Test Accuracy: 81.09 %
Epoch 25, Train Accuracy: 82.19 %, Test Accuracy: 81.55 %
Epoch 26, Train Accuracy: 83.15 %, Test Accuracy: 81.98 %
Epoch 27, Train Accuracy: 83.62 %, Test Accuracy: 82.73 %
Epoch 28, Train Accuracy: 84.34 %, Test Accuracy: 83.27 %
Epoch 29, Train Accuracy: 84.98 %, Test Accuracy: 83.93 %
Epoch 30, Train Accuracy: 85.67 %, Test Accuracy: 83.76 %
Epoch 31, Train Accuracy: 85.79 %, Test Accuracy: 84.25 %
Epoch 32, Train Accuracy: 86.25 %, Test Accuracy: 84.54 %
Epoch 33, Train Accuracy: 86.89 %, Test Accuracy: 85.17 %
Epoch 34, Train Accuracy: 86.89 %, Test Accuracy: 84.92 %
Epoch 35, Train Accuracy: 87.69 %, Test Accuracy: 85.27 %
Epoch 36, Train Accuracy: 87.91 %, Test Accuracy: 84.46 %
Epoch 37, Train Accuracy: 87.96 %, Test Accuracy: 84.76 %
Epoch 38, Train Accuracy: 88.18 %, Test Accuracy: 85.62 %
Epoch 39, Train Accuracy: 88.80 %, Test Accuracy: 85.43 %
Epoch 40, Train Accuracy: 88.96 %, Test Accuracy: 86.16 %
Epoch 41, Train Accuracy: 89.06 %, Test Accuracy: 86.00 %
Epoch 42, Train Accuracy: 89.39 %, Test Accuracy: 85.94 %
Epoch 43, Train Accuracy: 89.46 %, Test Accuracy: 85.91 %
Epoch 44, Train Accuracy: 89.81 %, Test Accuracy: 86.40 %
Epoch 45, Train Accuracy: 90.00 %, Test Accuracy: 86.80 %
Epoch 46, Train Accuracy: 90.06 %, Test Accuracy: 86.55 %
Epoch 47, Train Accuracy: 90.19 %, Test Accuracy: 86.58 %
Epoch 48, Train Accuracy: 90.28 %, Test Accuracy: 87.04 %
Epoch 49, Train Accuracy: 90.54 %, Test Accuracy: 87.11 %
Epoch 50, Train Accuracy: 90.59 %, Test Accuracy: 86.63 %
Epoch 51, Train Accuracy: 90.94 %, Test Accuracy: 86.77 %
Epoch 52, Train Accuracy: 90.92 %, Test Accuracy: 87.08 %
Epoch 53, Train Accuracy: 91.04 %, Test Accuracy: 86.54 %
Epoch 54, Train Accuracy: 91.05 %, Test Accuracy: 86.78 %
Epoch 55, Train Accuracy: 91.44 %, Test Accuracy: 87.31 %
Epoch 56, Train Accuracy: 91.61 %, Test Accuracy: 87.49 %
Epoch 57, Train Accuracy: 91.66 %, Test Accuracy: 87.28 %
Epoch 58, Train Accuracy: 91.70 %, Test Accuracy: 87.49 %
Epoch 59, Train Accuracy: 92.09 %, Test Accuracy: 87.66 %
Epoch 60, Train Accuracy: 91.94 %, Test Accuracy: 87.48 %
Epoch 61, Train Accuracy: 92.31 %, Test Accuracy: 87.61 %
Epoch 62, Train Accuracy: 92.21 %, Test Accuracy: 87.49 %
Epoch 63, Train Accuracy: 92.17 %, Test Accuracy: 87.11 %
Epoch 64, Train Accuracy: 92.39 %, Test Accuracy: 87.67 %
Epoch 65, Train Accuracy: 92.58 %, Test Accuracy: 87.87 %
Epoch 66, Train Accuracy: 92.70 %, Test Accuracy: 87.43 %
Epoch 67, Train Accuracy: 92.72 %, Test Accuracy: 87.47 %
Epoch 68, Train Accuracy: 92.72 %, Test Accuracy: 87.23 %
Epoch 69, Train Accuracy: 92.84 %, Test Accuracy: 87.69 %
Epoch 70, Train Accuracy: 92.99 %, Test Accuracy: 87.94 %
Epoch 71, Train Accuracy: 92.99 %, Test Accuracy: 87.94 %
Epoch 72, Train Accuracy: 93.14 %, Test Accuracy: 87.65 %
Epoch 73, Train Accuracy: 93.29 %, Test Accuracy: 87.67 %
Epoch 74, Train Accuracy: 93.19 %, Test Accuracy: 87.58 %
Epoch 75, Train Accuracy: 93.40 %, Test Accuracy: 88.04 %
Epoch 76, Train Accuracy: 93.37 %, Test Accuracy: 87.84 %
Epoch 77, Train Accuracy: 93.51 %, Test Accuracy: 88.05 %
Epoch 78, Train Accuracy: 93.48 %, Test Accuracy: 87.91 %
Epoch 79, Train Accuracy: 93.64 %, Test Accuracy: 88.00 %
Epoch 80, Train Accuracy: 93.84 %, Test Accuracy: 88.01 %
Epoch 81, Train Accuracy: 93.93 %, Test Accuracy: 87.97 %
Epoch 82, Train Accuracy: 93.90 %, Test Accuracy: 87.95 %
Epoch 83, Train Accuracy: 93.99 %, Test Accuracy: 88.07 %
Epoch 84, Train Accuracy: 94.12 %, Test Accuracy: 87.49 %
Epoch 85, Train Accuracy: 94.21 %, Test Accuracy: 88.15 %
Epoch 86, Train Accuracy: 94.34 %, Test Accuracy: 88.06 %
Epoch 87, Train Accuracy: 94.26 %, Test Accuracy: 88.29 %
Epoch 88, Train Accuracy: 94.36 %, Test Accuracy: 88.20 %
Epoch 89, Train Accuracy: 94.46 %, Test Accuracy: 88.35 %
Epoch 90, Train Accuracy: 94.42 %, Test Accuracy: 88.34 %
Epoch 91, Train Accuracy: 94.46 %, Test Accuracy: 88.36 %
Epoch 92, Train Accuracy: 94.55 %, Test Accuracy: 88.22 %
Epoch 93, Train Accuracy: 94.64 %, Test Accuracy: 88.14 %
Epoch 94, Train Accuracy: 94.72 %, Test Accuracy: 88.13 %
Epoch 95, Train Accuracy: 94.84 %, Test Accuracy: 88.35 %
Epoch 96, Train Accuracy: 94.70 %, Test Accuracy: 88.39 %
Epoch 97, Train Accuracy: 94.86 %, Test Accuracy: 88.26 %
Epoch 98, Train Accuracy: 94.94 %, Test Accuracy: 88.53 %
Epoch 99, Train Accuracy: 95.10 %, Test Accuracy: 88.34 %
42  minutes
RUN_DONE
