NODE=[HOST_e8d809bd94] | JOB=zsw-w-r0-s2 4681697
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups weightwise --seed 2 --save-directory cluster/Account1/metaopt/runs/zsw --run-name zsw-w-r0_s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=zpool LAM=na ETA_RATIO=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.03 %, Test Accuracy: 10.18 %
Epoch 1, Train Accuracy: 9.98 %, Test Accuracy: 10.24 %
Epoch 2, Train Accuracy: 10.11 %, Test Accuracy: 10.33 %
Epoch 3, Train Accuracy: 10.12 %, Test Accuracy: 10.58 %
Epoch 4, Train Accuracy: 10.78 %, Test Accuracy: 10.72 %
Epoch 5, Train Accuracy: 11.65 %, Test Accuracy: 12.01 %
Epoch 6, Train Accuracy: 13.58 %, Test Accuracy: 14.36 %
Epoch 7, Train Accuracy: 15.78 %, Test Accuracy: 17.38 %
Epoch 8, Train Accuracy: 18.74 %, Test Accuracy: 20.64 %
Epoch 9, Train Accuracy: 22.35 %, Test Accuracy: 23.39 %
Epoch 10, Train Accuracy: 25.47 %, Test Accuracy: 26.99 %
Epoch 11, Train Accuracy: 29.30 %, Test Accuracy: 32.14 %
Epoch 12, Train Accuracy: 34.19 %, Test Accuracy: 37.35 %
Epoch 13, Train Accuracy: 38.87 %, Test Accuracy: 41.58 %
Epoch 14, Train Accuracy: 43.77 %, Test Accuracy: 47.70 %
Epoch 15, Train Accuracy: 48.97 %, Test Accuracy: 51.77 %
Epoch 16, Train Accuracy: 54.46 %, Test Accuracy: 56.49 %
Epoch 17, Train Accuracy: 60.68 %, Test Accuracy: 61.07 %
Epoch 18, Train Accuracy: 65.84 %, Test Accuracy: 67.68 %
Epoch 19, Train Accuracy: 69.69 %, Test Accuracy: 71.76 %
Epoch 20, Train Accuracy: 72.49 %, Test Accuracy: 72.91 %
Epoch 21, Train Accuracy: 74.69 %, Test Accuracy: 76.01 %
Epoch 22, Train Accuracy: 76.53 %, Test Accuracy: 77.59 %
Epoch 23, Train Accuracy: 78.29 %, Test Accuracy: 78.22 %
Epoch 24, Train Accuracy: 79.29 %, Test Accuracy: 78.83 %
Epoch 25, Train Accuracy: 80.54 %, Test Accuracy: 80.23 %
Epoch 26, Train Accuracy: 81.69 %, Test Accuracy: 80.68 %
Epoch 27, Train Accuracy: 82.57 %, Test Accuracy: 81.35 %
Epoch 28, Train Accuracy: 83.46 %, Test Accuracy: 82.10 %
Epoch 29, Train Accuracy: 83.72 %, Test Accuracy: 82.98 %
Epoch 30, Train Accuracy: 84.28 %, Test Accuracy: 83.11 %
Epoch 31, Train Accuracy: 85.00 %, Test Accuracy: 83.65 %
Epoch 32, Train Accuracy: 85.55 %, Test Accuracy: 83.73 %
Epoch 33, Train Accuracy: 86.00 %, Test Accuracy: 84.01 %
Epoch 34, Train Accuracy: 86.38 %, Test Accuracy: 84.01 %
Epoch 35, Train Accuracy: 86.82 %, Test Accuracy: 84.90 %
Epoch 36, Train Accuracy: 87.17 %, Test Accuracy: 84.56 %
Epoch 37, Train Accuracy: 87.43 %, Test Accuracy: 85.27 %
Epoch 38, Train Accuracy: 87.73 %, Test Accuracy: 85.36 %
Epoch 39, Train Accuracy: 88.04 %, Test Accuracy: 85.26 %
Epoch 40, Train Accuracy: 88.18 %, Test Accuracy: 85.06 %
Epoch 41, Train Accuracy: 88.26 %, Test Accuracy: 85.52 %
Epoch 42, Train Accuracy: 88.66 %, Test Accuracy: 85.41 %
Epoch 43, Train Accuracy: 88.89 %, Test Accuracy: 85.73 %
Epoch 44, Train Accuracy: 89.09 %, Test Accuracy: 85.94 %
Epoch 45, Train Accuracy: 89.18 %, Test Accuracy: 85.98 %
Epoch 46, Train Accuracy: 89.42 %, Test Accuracy: 85.40 %
Epoch 47, Train Accuracy: 89.56 %, Test Accuracy: 85.77 %
Epoch 48, Train Accuracy: 89.67 %, Test Accuracy: 85.81 %
Epoch 49, Train Accuracy: 90.09 %, Test Accuracy: 86.55 %
Epoch 50, Train Accuracy: 89.94 %, Test Accuracy: 86.64 %
Epoch 51, Train Accuracy: 90.41 %, Test Accuracy: 86.54 %
Epoch 52, Train Accuracy: 90.27 %, Test Accuracy: 86.34 %
Epoch 53, Train Accuracy: 90.37 %, Test Accuracy: 86.62 %
Epoch 54, Train Accuracy: 90.65 %, Test Accuracy: 86.49 %
Epoch 55, Train Accuracy: 90.72 %, Test Accuracy: 86.95 %
Epoch 56, Train Accuracy: 90.86 %, Test Accuracy: 86.87 %
Epoch 57, Train Accuracy: 90.95 %, Test Accuracy: 86.88 %
Epoch 58, Train Accuracy: 91.09 %, Test Accuracy: 86.78 %
Epoch 59, Train Accuracy: 91.31 %, Test Accuracy: 87.06 %
Epoch 60, Train Accuracy: 91.45 %, Test Accuracy: 87.23 %
Epoch 61, Train Accuracy: 91.53 %, Test Accuracy: 87.30 %
Epoch 62, Train Accuracy: 91.54 %, Test Accuracy: 86.78 %
Epoch 63, Train Accuracy: 91.51 %, Test Accuracy: 87.04 %
Epoch 64, Train Accuracy: 91.65 %, Test Accuracy: 87.08 %
Epoch 65, Train Accuracy: 91.82 %, Test Accuracy: 86.92 %
Epoch 66, Train Accuracy: 91.90 %, Test Accuracy: 87.17 %
Epoch 67, Train Accuracy: 91.92 %, Test Accuracy: 87.17 %
Epoch 68, Train Accuracy: 92.05 %, Test Accuracy: 87.20 %
Epoch 69, Train Accuracy: 92.17 %, Test Accuracy: 87.45 %
Epoch 70, Train Accuracy: 92.08 %, Test Accuracy: 86.96 %
Epoch 71, Train Accuracy: 92.30 %, Test Accuracy: 87.24 %
Epoch 72, Train Accuracy: 92.36 %, Test Accuracy: 87.46 %
Epoch 73, Train Accuracy: 92.48 %, Test Accuracy: 87.31 %
Epoch 74, Train Accuracy: 92.42 %, Test Accuracy: 87.36 %
Epoch 75, Train Accuracy: 92.59 %, Test Accuracy: 87.35 %
Epoch 76, Train Accuracy: 92.57 %, Test Accuracy: 87.45 %
Epoch 77, Train Accuracy: 92.73 %, Test Accuracy: 87.39 %
Epoch 78, Train Accuracy: 92.82 %, Test Accuracy: 87.69 %
Epoch 79, Train Accuracy: 92.76 %, Test Accuracy: 87.75 %
Epoch 80, Train Accuracy: 92.93 %, Test Accuracy: 87.59 %
Epoch 81, Train Accuracy: 93.02 %, Test Accuracy: 87.83 %
Epoch 82, Train Accuracy: 93.14 %, Test Accuracy: 87.36 %
Epoch 83, Train Accuracy: 93.29 %, Test Accuracy: 87.53 %
Epoch 84, Train Accuracy: 93.20 %, Test Accuracy: 87.44 %
Epoch 85, Train Accuracy: 93.23 %, Test Accuracy: 87.65 %
Epoch 86, Train Accuracy: 93.13 %, Test Accuracy: 87.53 %
Epoch 87, Train Accuracy: 93.27 %, Test Accuracy: 87.68 %
Epoch 88, Train Accuracy: 93.29 %, Test Accuracy: 87.66 %
Epoch 89, Train Accuracy: 93.37 %, Test Accuracy: 87.66 %
Epoch 90, Train Accuracy: 93.23 %, Test Accuracy: 87.69 %
Epoch 91, Train Accuracy: 93.21 %, Test Accuracy: 88.11 %
Epoch 92, Train Accuracy: 93.42 %, Test Accuracy: 87.76 %
Epoch 93, Train Accuracy: 93.57 %, Test Accuracy: 87.47 %
Epoch 94, Train Accuracy: 93.58 %, Test Accuracy: 87.94 %
Epoch 95, Train Accuracy: 93.65 %, Test Accuracy: 87.77 %
Epoch 96, Train Accuracy: 93.68 %, Test Accuracy: 87.80 %
Epoch 97, Train Accuracy: 93.71 %, Test Accuracy: 87.83 %
Epoch 98, Train Accuracy: 93.81 %, Test Accuracy: 87.87 %
Epoch 99, Train Accuracy: 93.91 %, Test Accuracy: 87.96 %
42  minutes
RUN_DONE
