batch,arm,label,seed,run,epoch,test_accuracy_percent,train_accuracy_percent,source_ids,registered_horizon_epochs,in_registered_plateau5_window,scope,units
cts2,k49-C,k49-C,0,cts2-k49-C-s0,0,1.1,1.05,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,1,1.15,1.08,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,2,1.14,1.05,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,3,1.11,1.06,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,4,1.29,1.1,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,5,1.25,1.07,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,6,1.43,1.16,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,7,2,1.47,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,8,3.01,2.29,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,9,3.91,3.04,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,10,4.56,3.7,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,11,5.49,4.39,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,12,7.16,5.88,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,13,9.05,7.82,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,14,10.36,9.6,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,15,11.95,11.16,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,16,13.38,12.81,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,17,14.19,14.45,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,18,18.32,16.45,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,19,20.71,19.67,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,20,23.42,22.28,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,21,25.41,25.11,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,22,27.36,27.16,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,23,30.63,29.67,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,24,33.1,32.01,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,25,34.8,34.07,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,26,36.18,36.41,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,27,37.12,38.34,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
