batch,arm,label,horizon,group_count,normalized_tensor_count_entropy,r,meta_stepsize,meta_optimizer,capture_fraction,plateau_window_start_epoch,plateau_window_end_epoch,config_network,config_dataset,config_batch_size,config_granularity,config_base,config_meta,config_meta_stepsize,config_alpha0,config_gamma,config_augment,config_beta_clip,config_hier,config_lam,config_eta_ratio,config_epochs_requested,seed,run,test_plateau5_percent,train_plateau5_percent,source_ids,scope,units
cts2,k49-C,k49-C,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[49,13]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,0,cts2-k49-C-s0,55.3,62.336,S0346,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k49-C,k49-C,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[49,13]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,1,cts2-k49-C-s1,55.478,62.222,S0347,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k49-C,k49-C,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[49,13]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,2,cts2-k49-C-s2,55.728,62.424,S0348,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k50-C,k50-C,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[50,12]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,0,cts2-k50-C-s0,31.626,33.472,S0349,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k50-C,k50-C,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[50,12]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,1,cts2-k50-C-s1,28.616,30.3,S0350,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k50-C,k50-C,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[50,12]",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,2,cts2-k50-C-s2,30.776,32.234,S0351,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k49-R,k49-R,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[49,13]",SGDm,Lion,1e-3,1e-6,1,1,-80:-2.3026,,na,na,100,0,cts2-k49-R-s0,55.6,62.6,S0352,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k49-R,k49-R,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[49,13]",SGDm,Lion,1e-3,1e-6,1,1,-80:-2.3026,,na,na,100,1,cts2-k49-R-s1,54.884,62.046,S0353,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k49-R,k49-R,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[49,13]",SGDm,Lion,1e-3,1e-6,1,1,-80:-2.3026,,na,na,100,2,cts2-k49-R-s2,55.176,62.664,S0354,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k50-R,k50-R,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[50,12]",SGDm,Lion,1e-3,1e-6,1,1,-80:-2.3026,,na,na,100,0,cts2-k50-R-s0,31.636,33.622,S0355,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k50-R,k50-R,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[50,12]",SGDm,Lion,1e-3,1e-6,1,1,-80:-2.3026,,na,na,100,1,cts2-k50-R-s1,28.832,30.372,S0356,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cts2,k50-R,k50-R,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"[50,12]",SGDm,Lion,1e-3,1e-6,1,1,-80:-2.3026,,na,na,100,2,cts2-k50-R-s2,30.89,32.382,S0357,"`cts2`, 12 runs, 100 ep | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
