batch,arm,label,group_index_1based,tensor_count,source_ids,scope,units
cbl1,c01,c01,1,62,S0022 | S0023 | S0024,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c02,c02,1,31,S0025 | S0026 | S0027,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c02,c02,2,31,S0025 | S0026 | S0027,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c04,c04,1,16,S0028 | S0029 | S0030,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c04,c04,2,16,S0028 | S0029 | S0030,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c04,c04,3,15,S0028 | S0029 | S0030,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c04,c04,4,15,S0028 | S0029 | S0030,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,1,8,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,2,8,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,3,8,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,4,8,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,5,8,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,6,8,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,7,7,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c08,c08,8,7,S0031 | S0032 | S0033,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,1,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,2,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,3,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,4,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,5,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,6,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,7,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,8,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,9,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,10,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,11,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,12,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,13,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,14,4,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,15,3,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
cbl1,c16,c16,16,3,S0034 | S0035 | S0036,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.",tensors
