batch,arm,label,horizon,group_count,normalized_tensor_count_entropy,r,meta_stepsize,meta_optimizer,capture_fraction,plateau_window_start_epoch,plateau_window_end_epoch,config_network,config_dataset,config_batch_size,config_granularity,config_base,config_meta,config_meta_stepsize,config_alpha0,config_gamma,config_augment,config_beta_clip,config_hier,config_lam,config_eta_ratio,config_epochs_requested,seed,run,test_plateau5_percent,train_plateau5_percent,source_ids,scope,units
g4m,r0-m1e2,r0-m1e2,100,,,0,0.01,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,0,g4m-r0-m1e2-s0,91.176,96.466,S0105,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e2,r0-m1e2,100,,,0,0.01,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,1,g4m-r0-m1e2-s1,90.754,96.882,S0106,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e2,r0-m1e2,100,,,0,0.01,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,2,g4m-r0-m1e2-s2,90.63,96.538,S0107,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e3,r0-m1e3,100,,,0,0.001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,0,g4m-r0-m1e3-s0,92.446,97.71,S0108,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e3,r0-m1e3,100,,,0,0.001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,1,g4m-r0-m1e3-s1,92.28,97.77,S0109,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e3,r0-m1e3,100,,,0,0.001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,2,g4m-r0-m1e3-s2,92.434,97.81,S0110,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e4,r0-m1e4,100,,,0,0.0001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,0,g4m-r0-m1e4-s0,36.244,35.288,S0111,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e4,r0-m1e4,100,,,0,0.0001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,1,g4m-r0-m1e4-s1,37.706,36.712,S0112,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m1e4,r0-m1e4,100,,,0,0.0001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,2,g4m-r0-m1e4-s2,37.82,36.624,S0113,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e2,r0-m3e2,100,,,0,0.03,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,0,g4m-r0-m3e2-s0,90.69,96.604,S0114,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e2,r0-m3e2,100,,,0,0.03,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,1,g4m-r0-m3e2-s1,90.192,96.372,S0115,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e2,r0-m3e2,100,,,0,0.03,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-2,1e-6,1,1,-15:-2.3026,additive,na,0,100,2,g4m-r0-m3e2-s2,90.042,95.798,S0116,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e3,r0-m3e3,100,,,0,0.003,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,0,g4m-r0-m3e3-s0,91.728,97.026,S0117,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e3,r0-m3e3,100,,,0,0.003,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,1,g4m-r0-m3e3-s1,91.544,97.136,S0118,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e3,r0-m3e3,100,,,0,0.003,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-3,1e-6,1,1,-15:-2.3026,additive,na,0,100,2,g4m-r0-m3e3-s2,91.636,97.044,S0119,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e4,r0-m3e4,100,,,0,0.0003,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,0,g4m-r0-m3e4-s0,89.872,92.62,S0120,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e4,r0-m3e4,100,,,0,0.0003,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,1,g4m-r0-m3e4-s1,89.924,92.802,S0121,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r0-m3e4,r0-m3e4,100,,,0,0.0003,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,3e-4,1e-6,1,1,-15:-2.3026,additive,na,0,100,2,g4m-r0-m3e4-s2,89.56,92.684,S0122,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e2,r006-m1e2,100,,,0.06,0.01,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,0,g4m-r006-m1e2-s0,91.006,99.77,S0123,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e2,r006-m1e2,100,,,0.06,0.01,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,1,g4m-r006-m1e2-s1,90.986,99.742,S0124,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e2,r006-m1e2,100,,,0.06,0.01,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-2,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,2,g4m-r006-m1e2-s2,91.038,99.724,S0125,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e3,r006-m1e3,100,,,0.06,0.001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,0,g4m-r006-m1e3-s0,93.114,99.756,S0126,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e3,r006-m1e3,100,,,0.06,0.001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,1,g4m-r006-m1e3-s1,93.192,99.732,S0127,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e3,r006-m1e3,100,,,0.06,0.001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,2,g4m-r006-m1e3-s2,93.318,99.722,S0128,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e4,r006-m1e4,100,,,0.06,0.0001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,0,g4m-r006-m1e4-s0,36.712,35.696,S0129,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e4,r006-m1e4,100,,,0.06,0.0001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,1,g4m-r006-m1e4-s1,38.218,37.25,S0130,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
g4m,r006-m1e4,r006-m1e4,100,,,0.06,0.0001,,,95,99,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-4,1e-6,1,1,-15:-2.3026,additive,na,0.06,100,2,g4m-r006-m1e4-s2,38.268,37.13,S0131,"`g4m`, 72 runs, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
