index_1based,name,numel,carrier,originally_named,signed_L_n,signed_L_mean,signed_L_sd,signed_L_se,signed_L_min,signed_L_max,absolute_L_n,absolute_L_mean,absolute_L_sd,absolute_L_se,absolute_L_min,absolute_L_max,source_ids,scope,units
1,conv1.weight,1728,false,false,3,-0.00559900757857117,0.000818291533530793,0.000472440837159595,-0.00637888327473746,-0.00474706707059846,3,0.00963387085342771,0.00147366520378689,0.000850821002101746,0.00831934546970019,0.0112269253995541,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
2,bn1.weight,64,false,false,3,-0.00639715923844546,0.00105690207397343,0.000610202696915635,-0.00744704934731811,-0.005333382054828,3,0.0069039657730736,0.000781054629526807,0.000450942100609105,0.00603849544753006,0.00755639884436506,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
3,bn1.bias,64,false,false,3,-4.64096059967109e-05,7.57029508133291e-05,4.37071190305246e-05,-0.000123810404601976,2.74728063707779e-05,3,8.97353730766549e-05,3.77024808756938e-05,2.17675374826986e-05,6.21510892111114e-05,0.000132696120168071,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
4,layer1.0.conv1.weight,36864,false,false,3,-0.0174160750466422,0.00248095798338679,0.00143238175955651,-0.0201493996616808,-0.0153065433515798,3,0.0174554718644801,0.00245466092890058,0.00141719914807001,0.0153453401969894,0.0201493996616808,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
5,layer1.0.bn1.weight,64,false,false,3,-5.08467965033553e-05,7.06628094171742e-06,4.07971920387007e-06,-5.75501470205612e-05,-4.34663316957829e-05,3,7.95747317081956e-05,3.73898019190171e-06,2.15870122028913e-06,7.62700725538194e-05,8.36331771970724e-05,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
6,layer1.0.bn1.bias,64,false,false,3,-1.51162184868338e-05,4.64226971821196e-06,2.68021567146053e-06,-1.90453516181885e-05,-9.99378828196999e-06,3,2.10604035423221e-05,2.14019738848194e-06,1.23564353835898e-06,1.85908356533966e-05,2.23750041088364e-05,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
7,layer1.0.conv2.weight,36864,false,false,3,-0.0178331024121853,0.00101819106345609,0.000587852884572846,-0.0190079061833343,-0.0172058242658478,3,0.0178331024121853,0.00101819106345609,0.000587852884572846,0.0172058242658478,0.0190079061833343,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
8,layer1.0.bn2.weight,64,false,false,3,0.000440428960850692,0.000695882769325477,0.000401768104194486,-2.08406043396006e-05,0.00124086688472883,3,0.00381623640143765,0.000258916830234164,0.000149485701633419,0.00356003759114486,0.00407778824073917,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
9,layer1.0.bn2.bias,64,false,false,3,-5.30852484939984e-06,1.73585140431884e-06,1.00219427555667e-06,-6.62669589509899e-06,-3.34177005697711e-06,3,8.84231491724991e-06,2.74488201732651e-07,1.58475837159723e-07,8.55448264437944e-06,9.10115803011404e-06,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
10,layer1.1.conv1.weight,36864,false,false,3,-0.0129135801054405,0.000570449798542054,0.000329349344747423,-0.0132665211451981,-0.0122554588412482,3,0.0129135801054405,0.000570449798542054,0.000329349344747423,0.0122554588412482,0.0132665211451981,S0587 | S0588 | S0589,"`ctd1`, 6 runs, 100 ep | Scalar seeds [18, 19, 20]; n=3 seed means, not independent probe records. Positive L lowers beta.",Lion direction units; numel is parameter coordinates
