area,records,research_questions,success,fail,mixed,unresolved,method_checks,corrected,interpretation
Baseline comparisons,8,8,7,1,0,0,0,1,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Step-size granularity,8,8,3,3,2,0,0,0,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Training duration,3,3,0,1,2,0,0,0,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Initial-rate robustness,5,5,3,1,1,0,0,1,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Model and dataset scope,7,7,1,2,4,0,0,2,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Proposed fixes,12,12,1,7,3,1,0,2,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Meta-gradient measurements,17,17,7,7,2,1,0,1,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Measurement checks,16,2,0,2,0,0,14,14,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Mechanism and isolation,64,63,22,12,21,8,1,2,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
Count-matched partition audit,39,36,12,5,5,14,3,12,"Outcomes judge each stated goal; these are not method win rates or independent hypotheses. Method checks carry no research outcome, and Corrected is a badge beside the outcome."
