panel_id,occurrence_id,cell_label,selection_context,source_pointer,inherited_context,batch_family_counts,excluded_duplicate_aliases,cell_id,metric,split,units,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,epochs_requested,start_epoch_index,end_epoch_index_exclusive,window_records,actual_epochs_parsed,terminal_window,n,accuracy_mean,accuracy_sd_pp,accuracy_se_pp,accuracy_min,accuracy_max,n_unique_runs,n_unique_seed_labels,n_runs_with_recorded_raw_hash,summary_origin,uncertainty_note,labels,panels,occurrences,source_pointers,measurement_ids,occurrence_count,independence_note
initialization_startup,OCC-b00e26c4f11dc660,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|20,reported cell context,/panels/initialization_startup/short_confounded/0,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p3"":1}",,CELL-f52a2b79b599a7e4,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,20,0,20,20,20,True,1,75.296,,,75.296,75.296,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|20""]","[""initialization_startup""]","[""OCC-b00e26c4f11dc660""]","[""/panels/initialization_startup/short_confounded/0""]","[""MEAS-4e111d1b9171e675""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-8ffacc35047fd9b5,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|1.0|na|20,reported cell context,/panels/initialization_startup/short_confounded/1,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p3"":1}",,CELL-605d3e505e2181ce,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,1.0,na,20,0,20,20,20,True,1,69.88,,,69.88,69.88,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|1.0|na|20""]","[""initialization_startup""]","[""OCC-8ffacc35047fd9b5""]","[""/panels/initialization_startup/short_confounded/1""]","[""MEAS-df2f763ab74fee56""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-905a3fc75a59fad6,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026||na|na|20,reported cell context,/panels/initialization_startup/short_confounded/2,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p2"":1}",,CELL-68bb1930329be6f2,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,20,0,20,20,20,True,1,33.054,,,33.054,33.054,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026||na|na|20""]","[""initialization_startup""]","[""OCC-905a3fc75a59fad6""]","[""/panels/initialization_startup/short_confounded/2""]","[""MEAS-c1db8f5d524dda23""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-88ec88763a8f1222,ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|shrink|1.0|na|20,reported cell context,/panels/initialization_startup/short_confounded/3,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p2"":1}",,CELL-bb7fdb203ac2d99a,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,20,0,20,20,20,True,1,25.935,,,25.935,25.935,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|layerwise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|shrink|1.0|na|20""]","[""initialization_startup""]","[""OCC-88ec88763a8f1222""]","[""/panels/initialization_startup/short_confounded/3""]","[""MEAS-584563f8b54acf94""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-3d7d87639a89aacd,ResNet18|CIFAR10|100|nodewise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|1.0|na|20,reported cell context,/panels/initialization_startup/short_confounded/4,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p3"":1}",,CELL-aab73d24a7efc110,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,1.0,na,20,0,20,20,20,True,1,65.876,,,65.876,65.876,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|nodewise|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|1.0|na|20""]","[""initialization_startup""]","[""OCC-3d7d87639a89aacd""]","[""/panels/initialization_startup/short_confounded/4""]","[""MEAS-4a7c56219110036b""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-b20e3e94f1940588,ResNet18|CIFAR10|100|nodewise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|shrink|1.0|na|20,reported cell context,/panels/initialization_startup/short_confounded/5,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p2"":1}",,CELL-e48d0ead778ca97a,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,20,0,20,20,20,True,1,18.765,,,18.765,18.765,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|nodewise|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|shrink|1.0|na|20""]","[""initialization_startup""]","[""OCC-b20e3e94f1940588""]","[""/panels/initialization_startup/short_confounded/5""]","[""MEAS-686d37804c8d01dd""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-fecec4aa1e44775f,ResNet18|CIFAR10|100|resnet18_blocks|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|1.0|na|20,reported cell context,/panels/initialization_startup/short_confounded/6,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p3"":1}",,CELL-85b8f08be5bb4c62,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,resnet18_blocks,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,1.0,na,20,0,20,20,20,True,1,71.109,,,71.109,71.109,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|resnet18_blocks|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026|shrink|1.0|na|20""]","[""initialization_startup""]","[""OCC-fecec4aa1e44775f""]","[""/panels/initialization_startup/short_confounded/6""]","[""MEAS-619661e5b506a85e""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-573ed3374be760d5,ResNet18|CIFAR10|100|resnet18_blocks|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|shrink|1.0|na|20,reported cell context,/panels/initialization_startup/short_confounded/7,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p2"":1}",,CELL-5b04b8390ebd9cba,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,resnet18_blocks,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,20,0,20,20,20,True,1,31.782,,,31.782,31.782,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|resnet18_blocks|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026|shrink|1.0|na|20""]","[""initialization_startup""]","[""OCC-573ed3374be760d5""]","[""/panels/initialization_startup/short_confounded/7""]","[""MEAS-734da70dee8fedef""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-45608372897bb490,ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|20,reported cell context,/panels/initialization_startup/short_confounded/8,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p3"":1}",,CELL-c026a6f8b002949c,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,20,0,20,20,20,True,1,71.943,,,71.943,71.943,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-3|1|1|-15:-2.3026||na|na|20""]","[""initialization_startup""]","[""OCC-45608372897bb490""]","[""/panels/initialization_startup/short_confounded/8""]","[""MEAS-9c41cb0c44610350""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
initialization_startup,OCC-87830e5b0575058c,ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026||na|na|20,reported cell context,/panels/initialization_startup/short_confounded/9,"{""scope"":""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""}","{""p2"":1}",,CELL-5d453aed45252cd3,legacy_plateau20,test,accuracy_percent,ResNet18,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,20,0,20,20,20,True,1,32.475,,,32.475,32.475,1,1,1,mean/min/max recomputed from inline legacy run values; SD/SE not supplied,sample SD; SE=SD/sqrt(n); excludes batch/selection uncertainty,"[""ResNet18|CIFAR10|100|scalar|SGDm|Lion|1e-3|1e-6|1|1|-15:-2.3026||na|na|20""]","[""initialization_startup""]","[""OCC-87830e5b0575058c""]","[""/panels/initialization_startup/short_confounded/9""]","[""MEAS-4132f4e76c5b0e44""]",1,n counts this cell's named runs; repeated cells/seed labels/trajectory windows are not additional independent replicates
