measurement_id,run_id,metric,split,units,value,start_epoch_index,end_epoch_index_exclusive,window_records,window_basis,actual_epochs_parsed,terminal_window,job_id,seed,raw_sha256,raw_paths,source_fields,source_pointers,contexts,panels
MEAS-e2a38de3c7469f16,RUN-4700620,legacy_plateau20,test,accuracy_percent,69.162,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700620,0,08450ea72ab304dd1d64b851ecc24244852ad80d9fc578312cb6e8d9f5cb4ef9,"[""archive/Account1/runs/i3a-1e6-s0-4700620.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/0/runs/0/plateau20""]","[""OCC-3311fb016ed3c778""]","[""alpha0_robustness""]"
MEAS-8c06c7d253fae5da,RUN-4700634,legacy_plateau20,test,accuracy_percent,68.112,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700634,1,544c2f8c7e22adf440e57492b2fcd105de403ae04cf6f7dd34dd8ab584ba0194,"[""archive/Account1/runs/i3a-1e6-s1-4700634.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/0/runs/1/plateau20""]","[""OCC-3311fb016ed3c778""]","[""alpha0_robustness""]"
MEAS-b5d50762c2e60d9d,RUN-4700648,legacy_plateau20,test,accuracy_percent,68.766,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700648,2,4c29c41d9cb9e4929f754a7560fd3a95774c3302abe12ea8699744398d8f197b,"[""archive/Account2/runs/i3a-1e6-s2-4700648.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/0/runs/2/plateau20""]","[""OCC-3311fb016ed3c778""]","[""alpha0_robustness""]"
MEAS-93fa56a52e73a3ac,RUN-4700622,legacy_plateau20,test,accuracy_percent,84.787,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700622,0,0aa1bb8bc2ef84da524ae797e79820bde42849c0450678d6e73cbbb14803fe8d,"[""archive/Account1/runs/i3a-1e5-s0-4700622.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/1/runs/0/plateau20""]","[""OCC-fecc20cb16692397""]","[""alpha0_robustness""]"
MEAS-7a17f9e3fc857eb0,RUN-4700636,legacy_plateau20,test,accuracy_percent,84.402,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700636,1,7becfe18f15982f224a7ac5769e15f4161b16acf38db96818fe4f10d8f643535,"[""archive/Account1/runs/i3a-1e5-s1-4700636.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/1/runs/1/plateau20""]","[""OCC-fecc20cb16692397""]","[""alpha0_robustness""]"
MEAS-5066615357258ded,RUN-4700650,legacy_plateau20,test,accuracy_percent,84.366,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700650,2,e74e253e2b783b4ca0774656629ab035520114db2951d4c1e1d54351bab72cfd,"[""archive/Account2/runs/i3a-1e5-s2-4700650.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/1/runs/2/plateau20""]","[""OCC-fecc20cb16692397""]","[""alpha0_robustness""]"
MEAS-9ae317e41c61f2a0,RUN-4700624,legacy_plateau20,test,accuracy_percent,91.375,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700624,0,22a7a9370823008650e172588e3926f3d22f2e915aabe7399f2a0890062658d3,"[""archive/Account1/runs/i3a-1e4-s0-4700624.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/2/runs/0/plateau20""]","[""OCC-ce5bede7195505a2""]","[""alpha0_robustness""]"
MEAS-a940291466b3d50e,RUN-4700638,legacy_plateau20,test,accuracy_percent,91.406,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700638,1,dbc1f33370860a13f594f7338f25515c602f5b2166cbf75c82dd23a2898af59d,"[""archive/Account1/runs/i3a-1e4-s1-4700638.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/2/runs/1/plateau20""]","[""OCC-ce5bede7195505a2""]","[""alpha0_robustness""]"
MEAS-89cbd9c4155ee5c0,RUN-4700652,legacy_plateau20,test,accuracy_percent,91.256,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700652,2,a9ad1d4e7887d120fd58f0afca8de3fc24552c60fd882b08cf47b9bf98dead9b,"[""archive/Account2/runs/i3a-1e4-s2-4700652.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/2/runs/2/plateau20""]","[""OCC-ce5bede7195505a2""]","[""alpha0_robustness""]"
MEAS-75728a90550c39c0,RUN-4700626,legacy_plateau20,test,accuracy_percent,91.662,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700626,0,6f3f9b33467e9e2c1eeac7ea179ea103dcfaf33cd8745b7621e75dfc1a6cb249,"[""archive/Account1/runs/i3a-3e4-s0-4700626.out""]","[""plateau20""]","[""/panels/alpha0_robustness/cells/3/runs/0/plateau20"",""/panels/schedule_controls/verified_counterweight/cells/0/runs/0/plateau20""]","[""OCC-d04e325f093de499"",""OCC-d172ad0bfaf038b7""]","[""alpha0_robustness"",""schedule_controls""]"
