run_id,job_id,seed,account,run_aliases,raw_paths,raw_sha256,epochs_parsed,source_tables,source_table_hashes,panels,occurrences,configuration_values,raw_hash_source_pointers,raw_hash_verification
RUN-4680586,4680586,0,Account1,"[""hs-l-lam01_s0""]","[""archive/Account1/runs/hs-l-lam01-s0-4680586.out""]",4df91cdc2937f6852e4f935d7a71f20333b1225b8aae6bde364f8ae5c6f9dc32,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[[""1"",""?""]],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.1""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/6/runs/3/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680592,4680592,1,Account1,"[""hs-l-lam01_s1""]","[""archive/Account1/runs/hs-l-lam01-s1-4680592.out""]",ebf2ca3144b831d76554c9f2f2cd9916d16bd8752ef57e7415fb97c0a9829c7c,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[[""1"",""?""]],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.1""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/6/runs/6/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680676,4680676,0,Account1,"[""h2-l-L0p001_s0""]","[""archive/Account1/runs/h2-l-L0p001-s0-4680676.out""]",47b633aebc07357f7c7d62433ab9c3ef5ce85e007f64bc761ef4938c63f97019,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.001""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/3/runs/0/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680677,4680677,0,Account1,"[""h2-l-L0p01_s0""]","[""archive/Account1/runs/h2-l-L0p01-s0-4680677.out""]",4e7607525db74d8067ac39bace60de1ba528f8dae7647f7dfbf6b29169345880,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.01""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/4/runs/0/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680678,4680678,0,Account1,"[""h2-l-L0p5_s0""]","[""archive/Account1/runs/h2-l-L0p5-s0-4680678.out""]",05e9d79bdd964dd43b9642fe6d17bb54d5c6e86900aaf5e56fe2eb02a749d255,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.5""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/8/runs/0/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680679,4680679,0,Account1,"[""h2-l-L1p0_s0""]","[""archive/Account1/runs/h2-l-L1p0-s0-4680679.out""]",7a516693f82a3770489838336458410215da3e636484dcae7796fbf62a33f59f,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""1.0""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/9/runs/0/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680683,4680683,1,Account1,"[""h2-l-L0p001_s1""]","[""archive/Account1/runs/h2-l-L0p001-s1-4680683.out""]",21048f06a7fa893000fb01b3a68dbc1108aa5cca89104557af10d870fb9d0441,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.001""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/3/runs/1/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680684,4680684,1,Account1,"[""h2-l-L0p01_s1""]","[""archive/Account1/runs/h2-l-L0p01-s1-4680684.out""]",24b1f6e5da7c14878473f1c7e1a16a8d4e4e7076e6b04fff3bf3f007a68becaa,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.01""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/4/runs/1/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680685,4680685,1,Account1,"[""h2-l-L0p5_s1""]","[""archive/Account1/runs/h2-l-L0p5-s1-4680685.out""]",f8fc4f0181195c9cb4ba502b5decb5cbc8db5bdd41ddc39e2f917f95b05107cf,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""0.5""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/8/runs/1/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
RUN-4680686,4680686,1,Account1,"[""h2-l-L1p0_s1""]","[""archive/Account1/runs/h2-l-L1p0-s1-4680686.out""]",4b2843d2a46b137f42834f43edd893a4e60bbfbaa2feea0e8fe94a7d39f16355,100,"[""repository/results/all_runs.csv""]","{""repository/results/all_runs.csv"":""465b81ccd1e3604b9f5565d7ed118e5dc780b576537cf2541dda4b0a6eb2902e""}","[""abandoned_fixes""]",1,"{""alpha0"":[""1e-6""],""augment"":[""1""],""base"":[""SGDm""],""batch_size"":[""100""],""beta_clip"":[""-15:-2.3026""],""dataset"":[""CIFAR10""],""epochs_requested"":[""100""],""eta_ratio"":[""na""],""gamma"":[""1""],""granularity"":[""layerwise""],""hier"":[""shrink""],""lam"":[""1.0""],""meta"":[""Lion""],""meta_stepsize"":[""1e-3""],""network"":[""ResNet18""]}","[""/panels/abandoned_fixes/M0_layerwise_lambda/9/runs/1/raw_sha256""]",recorded in input evidence; raw file not rehashed in this export
